,Sample,Spot,amideI_pos_1,amideI_intensity_1,amideI_pos_2,amideI_intensity_2,amideI_pos_3,amideI_intensity_3,amideI_integral,amideIII_pos_left,amideIII_intensity_left,amideIII_pos_right,amideIII_intensity_right,amideIII_integral,v1PO4_pos,v1PO4_intensity,v1PO4_FWHM,v1PO4_integral,v2PO4_pos_left,v2PO4_intensity_left,v2PO4_pos_right,v2PO4_intensity_right,v2PO4_integral,CO3_pos_left,CO3_intensity_left,CO3_pos_right,CO3_intensity_right,CO3_integral,M2M_ratio_v1/a1,M2M_ratio_v2/a3,crystallinity,carbonate_substitution
0,Sample2, s2-1,1599.560981539968,21.027221543913665,1640.7582031018287,55.05093405482391,1672.725428926747,65.88480780387057,5194.255388941485,1245.7871848361285,39.20558954757151,1270.3473806903776,35.44365476507651,1777.1985940491686,958.8198305860769,596.5834185455562,15.919268144915678,13006.035460798263,428.57628282673943,73.24234822254373,448.6239194635803,71.54127314007356,4379.196910180318,1041.3392974229375,32.75015150407363,1070.4344797811355,94.24612622017266,3131.743394388363,2.503926835882574,2.4641010435433426,0.06281695809737219,0.24079154664984653
1,Sample2, s2-2,1609.9999679402997,22.131801129722128,1638.6402332324128,52.677060030188386,1669.3077862677385,66.79378786937646,4616.980516135671,1243.6837805258938,42.96042618240597,1267.79019356418,38.81565537993883,1997.9250042841147,959.0327949073206,605.1801251630209,15.95486993042494,13218.763858345346,429.1635425989679,78.72646965277144,449.367043984377,74.443631376566,4727.798350157429,1040.5515244112335,34.03597763922142,1070.633732092577,98.98624308029007,3389.0743119935887,2.8630755126965997,2.366354262557251,0.06267678798766403,0.25638360351327244
2,Sample2, s2-3,1603.7499424084835,32.28357214827813,1638.563882331844,60.251371946754006,1671.6322136922274,74.8677006261911,6032.778269452941,1245.0730325913928,46.36012350714023,1271.2308993569527,42.1326814406171,2224.11217704923,959.0002817017206,613.4517476944924,15.981676104784466,13418.7186144443,429.4835676656703,78.0600989626398,449.47118303168526,65.88880095513235,4348.234586489274,1045.866960688669,36.287948755815684,1071.1227618103624,96.48960966809116,3171.1752957025496,2.224301642642856,1.9550428397267965,0.06257165978358353,0.23632474804926634
3,Sample2, s2-4,1597.2121116078238,20.833713309808733,1640.360734712178,67.36104194121522,1673.4788692197003,76.10243487212874,5923.045309865688,1245.562713646844,48.20121369572374,1269.7843370114033,37.838275432311306,2009.6958091215658,959.0198337691904,648.3661544536585,16.18403308551041,14335.903007137518,430.06909419208904,85.65938224606366,452.5276392362889,67.33111435741029,4708.610480621032,1043.6827388384752,30.59059127948607,1071.1785487750287,100.34267525603794,3107.8111766983234,2.4203601791225537,2.3429468575541077,0.061789295333021875,0.2167851704319578
4,Sample2, s2-5,1601.2498645301491,32.4689242760402,1641.2559260366916,70.43414487511933,1674.8384551535855,73.76311668568177,6014.80396156037,1244.3604909555634,52.168214310432035,1270.0393444598792,45.736251130081165,2328.8944415464466,959.1075801874948,662.3763308433016,15.985313332561633,14491.709371396599,427.6081563861493,81.11977250631365,447.8071168764756,78.62339132291291,4800.950654785792,1042.4130337239912,38.05191371610089,1070.8862126790177,104.49105653367275,3542.9045922162445,2.4093402651209828,2.0614719882270984,0.06255742250375713,0.24447803232992982
5,Sample1, s1-1,1604.6553233961456,45.76301025587521,1640.6367506307004,93.7862324850841,1672.79441951247,103.75204837919235,8245.370475584492,1242.3831609322187,68.76454940787134,1267.456491006472,62.75004386195138,3226.1835104215143,959.4357649024103,895.6247426966162,16.141007551090922,19757.648066203867,427.99169181129446,112.02938202126131,447.9596949245166,107.33941845097218,6077.5632950058625,1041.1770448701013,53.30231222974394,1070.5128296516334,141.76438732295202,4660.716398554578,2.3962110768350042,1.88382442454794,0.06195400112630596,0.23589429181739968
6,Sample1, s1-2,1600.8801343770806,42.11405852055398,1640.4322807505184,102.16328430548185,1675.348267154451,102.23949595265324,8572.230077740689,1244.2911532585947,72.56810147099726,1270.3588718463343,59.255428795656535,3283.6630506691295,959.532696394588,995.2107981722769,15.922466909133307,21699.700847918066,427.70676480151843,128.88107797374815,447.08088820290124,115.36753224831256,7273.847648129752,1042.9425902733908,58.45679932323348,1070.7167578023957,150.81083538456446,5135.935709930915,2.5313950571934805,2.2151626204910158,0.06280433840477248,0.23668232783143056
7,Sample1, s1-3,1603.6963193161137,36.35043060617922,1637.1140539538765,82.40490336625957,1672.778912540663,95.29589714591381,7611.438175068769,1244.2282818305355,68.71330679462173,1271.8640004404217,62.49514279767789,3309.761996210943,959.5325632991828,884.1652544869542,16.038226946732923,19398.408479114914,427.1094479500682,109.93501298977932,446.0750698123246,108.1244631023514,6012.794381214956,1044.0782274709877,52.02981931826757,1071.2048182682906,134.92931649930435,4308.49957151035,2.54858648693414,1.8166848214761298,0.062351031901547296,0.22210582770999224
8,Sample1, s1-4,1603.3248605573247,48.8495364676801,1642.024497291386,94.91254895036806,1675.9356840891262,104.66513867747149,9311.32084984273,1243.2230881433773,74.61984547714144,1269.2437427770672,61.7648777047769,3273.297554991554,959.4883924617073,963.8685119100323,15.895396945226963,20985.770880603246,428.74958098452146,125.04790999698389,448.33243987135427,105.07985479713682,6284.221837443995,1045.9281015147642,57.1854615984405,1071.1585972752787,149.64500117962467,4825.186924899483,2.253790973270747,1.9198443563008771,0.0629112945996783,0.22992659894897224
9,Sample1, s1-5,1606.9358960243974,39.740388473104446,1640.7449709898967,86.90315916697239,1673.464218692948,96.0568481806,7421.477143472071,1243.8066730137798,65.31120819120996,1268.9653235980045,56.00440922586657,3059.7039414668325,959.5092448990413,855.839145786073,15.712482410945386,18449.543372374377,429.085786646975,120.49573273170768,448.3105596620971,104.52674272737548,6680.001097784978,1040.9515835509999,47.89479953214265,1070.7182415171453,135.0593256115655,4513.531629990134,2.4859664748280728,2.183218123575238,0.06364366710784004,0.24464191546054845
